code,name,user_broad_cancer
EMBCA,Embryonal Carcinoma,Solid Tumors
TYST,Yolk Sac Tumor,Solid Tumors
TCCA,Choriocarcinoma,Solid Tumors
GCTSTM,Germ Cell Tumor with Somatic-Type Malignancy,Solid Tumors
MGCT,Mixed Germ Cell Tumor,Solid Tumors
TT,Teratoma,Solid Tumors
NRCC,NUTM1 Renal Cell Carcinoma,Bladder Cancer
NCCRCC,Renal Non-Clear Cell Carcinoma,Bladder Cancer
CCRCC,Renal Clear Cell Carcinoma,Bladder Cancer
PLBMESO,"Pleural Mesothelioma, Biphasic Type",Lung Cancers
PLEMESO,"Pleural Mesothelioma, Epithelioid Type",Lung Cancers
PLSMESO,"Pleural Mesothelioma, Sarcomatoid Type",Lung Cancers
PADA,Pleomorphic Adenoma,Head and Neck Cancers
MUCC,Mucoepidermoid Carcinoma,Head and Neck Cancers
MYEC,Myoepithelial Carcinoma,Head and Neck Cancers
PAC,Polymorphous Adenocarcinoma,Head and Neck Cancers
SGO,Salivary Gland Oncocytoma,Head and Neck Cancers
BCAC,Basal Cell Adenocarcinoma,Head and Neck Cancers
OSACA,"Salivary Carcinoma, Other",Head and Neck Cancers
HNMASC,Mammary Analogue Secretory Carcinoma of Salivary Gland Origin,Head and Neck Cancers
CAEXPA,Carcinoma ex Pleomorphic Adenoma,Head and Neck Cancers
ACYC,Adenoid Cystic Carcinoma,Head and Neck Cancers
SAAD,Salivary Adenocarcinoma,Head and Neck Cancers
ACCC,Acinic Cell Carcinoma,Head and Neck Cancers
SDCA,Salivary Duct Carcinoma,Head and Neck Cancers
PTHC,Parathyroid Carcinoma,Head and Neck Cancers
LXSC,Larynx Squamous Cell Carcinoma,Head and Neck Cancers
HNSCUP,Head and Neck Squamous Cell Carcinoma of Unknown Primary,Head and Neck Cancers
OCSC,Oral Cavity Squamous Cell Carcinoma,Head and Neck Cancers
OPHSC,Oropharynx Squamous Cell Carcinoma,Head and Neck Cancers
HPHSC,Hypopharynx Squamous Cell Carcinoma,Head and Neck Cancers
SNSC,Sinonasal Squamous Cell Carcinoma,Head and Neck Cancers
ODGC,Odontogenic Carcinoma,Head and Neck Cancers
NMCHN,NUT Midline Carcinoma of the Head and Neck,Head and Neck Cancers
SNA,Sinonasal Adenocarcinoma,Head and Neck Cancers
EMYOCA,Epithelial-Myoepithelial Carcinoma,Head and Neck Cancers
HNNE,Head and Neck Neuroendocrine Carcinoma,Head and Neck Cancers
ASCT,Adenosquamous Carcinoma of the Tongue,Head and Neck Cancers
SNUC,Sinonasal Undifferentiated Carcinoma,Head and Neck Cancers
BCCA,Choriocarcinoma,Brain and Other Nervous System
BEC,Embryonal Carcinoma,Brain and Other Nervous System
BIMT,Immature Teratoma,Brain and Other Nervous System
BYST,Yolk Sac Tumor,Brain and Other Nervous System
BMGT,Malignant Teratoma,Brain and Other Nervous System
BMT,Mature Teratoma,Brain and Other Nervous System
GMN,Germinoma,Brain and Other Nervous System
BMGCT,Mixed Germ Cell Tumor,Brain and Other Nervous System
ANM,Anaplastic Meningioma,Brain and Other Nervous System
MNG,Meningioma,Brain and Other Nervous System
ATM,Atypical Meningioma,Brain and Other Nervous System
HPCCNS,Hemangiopericytoma of the Central Nervous System,Brain and Other Nervous System
SFTCNS,Solitary Fibrous Tumor of the Central Nervous System,Brain and Other Nervous System
RHM,Rhabdoid Meningioma,Brain and Other Nervous System
CCM,Clear cell Meningioma,Brain and Other Nervous System
CHOM,Chordoid Meningioma,Brain and Other Nervous System
PPM,Papillary Meningioma,Brain and Other Nervous System
MMB,Medullomyoblastoma,Brain and Other Nervous System
MDEP,Medulloepithelioma,Brain and Other Nervous System
MBL,Medulloblastoma,Brain and Other Nervous System
AMBL,Large Cell/Anaplastic Medulloblastoma,Brain and Other Nervous System
ATRT,Atypical Teratoid/Rhabdoid Tumor,Brain and Other Nervous System
DMBL,Desmoplastic/Nodular Medulloblastoma,Brain and Other Nervous System
ETANTR,Embryonal Tumor with Abundant Neuropil and True Rosettes,Brain and Other Nervous System
PNET,Primitive Neuroectodermal Tumor,Brain and Other Nervous System
MBEN,Medulloblastoma with Extensive Nodularity,Brain and Other Nervous System
ONBL,Olfactory Neuroblastoma,Brain and Other Nervous System
MMBL,Melanotic Medulloblastoma,Brain and Other Nervous System
ACPG,"Craniopharyngioma, Adamantinomatous Type",Brain and Other Nervous System
PCGP,"Craniopharyngioma, Papillary Type",Brain and Other Nervous System
GCT,Granular Cell Tumor,Brain and Other Nervous System
PTCY,Pituicytoma,Brain and Other Nervous System
APTAD,Atypical Pituitary Adenoma,Brain and Other Nervous System
PTAD,Pituitary Adenoma,Brain and Other Nervous System
SCOAH,Spindle Cell Oncocytoma of the Adenohypophysis,Brain and Other Nervous System
PTCA,Pituitary Carcinoma,Brain and Other Nervous System
MPE,Myxopapillary Ependymoma,Brain and Other Nervous System
EPM,Ependymoma,Brain and Other Nervous System
CCE,Clear Cell Ependymoma,Brain and Other Nervous System
APE,Anaplastic Ependymoma,Brain and Other Nervous System
SUBE,Subependymoma,Brain and Other Nervous System
DIG,Desmoplastic Infantile Ganglioglioma,Brain and Other Nervous System
CHGL,Chordoid Glioma of the Third Ventricle,Brain and Other Nervous System
RGNT,Rosette-forming Glioneuronal Tumor of the Fourth Ventricle,Brain and Other Nervous System
CLNC,Cerebellar Liponeurocytoma,Brain and Other Nervous System
PGNT,Papillary Glioneuronal Tumor,Brain and Other Nervous System
CNC,Central Neurocytoma,Brain and Other Nervous System
EVN,Extraventricular Neurocytoma,Brain and Other Nervous System
DIA,Desmoplastic Infantile Astrocytoma,Brain and Other Nervous System
LDD,Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease,Brain and Other Nervous System
ASTB,Astroblastoma,Brain and Other Nervous System
ACPP,Atypical Choroid Plexus Papilloma,Brain and Other Nervous System
CPP,Choroid Plexus Papilloma,Brain and Other Nervous System
CPC,Choroid Plexus Carcinoma,Brain and Other Nervous System
PCNSM,Primary CNS Melanoma,Brain and Other Nervous System
MELC,Melanocytoma,Brain and Other Nervous System
PTPR,Papillary Tumor of the Pineal Region,Brain and Other Nervous System
PPTID,Pineal Parenchymal Tumor of Intermediate Differentiation,Brain and Other Nervous System
PINC,Pineocytoma,Brain and Other Nervous System
PBL,Pineoblastoma,Brain and Other Nervous System
GNG,Ganglioglioma,Brain and Other Nervous System
PMA,Pilomyxoid Astrocytoma,Brain and Other Nervous System
PAST,Pilocytic Astrocytoma,Brain and Other Nervous System
DNT,Dysembryoplastic Neuroepithelial Tumor,Brain and Other Nervous System
LGGNOS,"Low-Grade Glioma, NOS",Brain and Other Nervous System
GNC,Gangliocytoma,Brain and Other Nervous System
AGNG,Anaplastic Ganglioglioma,Brain and Other Nervous System
APXA,Anaplastic Pleomorphic Xanthoastrocytoma,Brain and Other Nervous System
PXA,Pleomorphic Xanthoastrocytoma,Brain and Other Nervous System
HMBL,Hemangioblastoma,Brain and Other Nervous System
PBT,Primary Brain Tumor,Brain and Other Nervous System
PRNET,Primary Neuroepithelial Tumor,Brain and Other Nervous System
HGNET,High-Grade Neuroepithelial Tumor,Brain and Other Nervous System
MCHSCNS,Mesenchymal Chondrosarcoma of the CNS,Brain and Other Nervous System
MLYM,Malignant Lymphoma,Brain and Other Nervous System
MT,Malignant Tumor,Brain and Other Nervous System
PDIFHG,Pediatric-Type Diffuse High-Grade Glioma,Brain and Other Nervous System
HGGNOS,"High-Grade Glioma, NOS",Brain and Other Nervous System
PDIFLG,Pediatric-Type Diffuse Low-Grade Glioma,Brain and Other Nervous System
GNOS,"Glioma, NOS",Brain and Other Nervous System
ADIFG,Adult-Type Diffuse Glioma,Brain and Other Nervous System
IAMPCA,Intestinal Ampullary Carcinoma,Ampullary Adenocarcinoma
MAMPCA,Mixed Ampullary Carcinoma,Ampullary Adenocarcinoma
PAMPCA,Pancreatobiliary Ampullary Carcinoma,Ampullary Adenocarcinoma
NFIB,Neurofibroma,Brain and Other Nervous System
SCHW,Schwannoma,Brain and Other Nervous System
MPNST,Malignant Peripheral Nerve Sheath Tumor,Brain and Other Nervous System
DDCHS,Dedifferentiated Chondrosarcoma,Bone and Joint Cancers
MYCHS,Myxoid Chondrosarcoma,Bone and Joint Cancers
MCHS,Mesenchymal Chondrosarcoma,Bone and Joint Cancers
EMCHS,Extraskeletal Myxoid Chondrosarcoma,Bone and Joint Cancers
DDCHDM,Dedifferentiated Chordoma,Bone and Joint Cancers
CCHDM,Conventional Type Chordoma,Bone and Joint Cancers
SCOS,Small Cell Osteosarcoma,Bone and Joint Cancers
TEOS,Telangiectatic Osteosarcoma,Bone and Joint Cancers
CHOS,Chondroblastic Osteosarcoma,Bone and Joint Cancers
SECOS,Secondary Osteosarcoma,Bone and Joint Cancers
PEOS,Periosteal Osteosarcoma,Bone and Joint Cancers
HGSOS,High-Grade Surface Osteosarcoma,Bone and Joint Cancers
PAOS,Parosteal Osteosarcoma,Bone and Joint Cancers
FIOS,Fibroblastic Osteosarcoma,Bone and Joint Cancers
LGCOS,Low-Grade Central Osteosarcoma,Bone and Joint Cancers
OSOS,Osteoblastic Osteosarcoma,Bone and Joint Cancers
NECNOS,"Neuroendocrine Carcinoma, NOS",Solid Tumors
UDMN,Undifferentiated Malignant Neoplasm,Solid Tumors
ACN,"Acinar Cell Carcinoma, NOS",Solid Tumors
CUPNOS,"Cancer of Unknown Primary, NOS",Solid Tumors
SCUP,Small Cell Carcinoma of Unknown Primary,Solid Tumors
SCCNOS,"Squamous Cell Carcinoma, NOS",Solid Tumors
NETNOS,"Neuroendocrine Tumor, NOS",Solid Tumors
ADNOS,"Adenocarcinoma, NOS",Solid Tumors
PDC,"Poorly Differentiated Carcinoma, NOS",Solid Tumors
SWDNET,Well-Differentiated Neuroendocrine Tumors of the Stomach,Esophageal Cancer
HGNES,High-Grade Neuroendocrine Carcinoma of the Stomach,Esophageal Cancer
HGNEE,High-Grade Neuroendocrine Carcinoma of the Esophagus,Esophageal Cancer
GEJ,Adenocarcinoma of the Gastroesophageal Junction,Esophageal Cancer
STAD,Stomach Adenocarcinoma,Esophageal Cancer
STAS,Adenosquamous Carcinoma of the Stomach,Esophageal Cancer
STSC,Small Cell Carcinoma of the Stomach,Esophageal Cancer
GRC,Gastric Remnant Adenocarcinoma,Esophageal Cancer
ESCA,Esophageal Adenocarcinoma,Esophageal Cancer
USTAD,Undifferentiated Stomach Adenocarcinoma,Esophageal Cancer
CHLPTLD,Classical Hodgkin Lymphoma PTLD,Hematological Malignancies
PPTLD,Polymorphic PTLD,Hematological Malignancies
FHPTLD,Florid Follicular Hyperplasia PTLD,Hematological Malignancies
MPTLD,Monomorphic PTLD (B- and T-/NK-cell types),Hematological Malignancies
PHPTLD,Plasmacytic Hyperplasia PTLD,Hematological Malignancies
IMPTLD,Infectious Mononucleosis PTLD,Hematological Malignancies
BLLRGA,B-Lymphoblastic Leukemia/Lymphoma with Recurrent Genetic Abnormalities,Hematological Malignancies
BLLNOS,"B-Lymphoblastic Leukemia/Lymphoma, NOS",Hematological Malignancies
MTNN,Mature T and NK Neoplasms,Hematological Malignancies
MBN,Mature B-Cell Neoplasms,Hematological Malignancies
NLPHL,Nodular Lymphocyte-Predominant Hodgkin Lymphoma,Hematological Malignancies
CHL,Classical Hodgkin Lymphoma,Hematological Malignancies
NKCLL,Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma,Hematological Malignancies
ETPLL,Early T-Cell Precursor Lymphoblastic Leukemia,Hematological Malignancies
MPT,Malignant Phyllodes Tumor of the Breast,Breast Cancer
BLPT,Borderline Phyllodes Tumor of the Breast,Breast Cancer
BPT,Benign Phyllodes Tumor of the Breast,Breast Cancer
MASCC,Metaplastic Adenocarcinoma with Spindle Cell Differentiation,Breast Cancer
MSCC,Metaplastic Squamous Cell Carcinoma,Breast Cancer
MASC,Metaplastic Adenosquamous Carcinoma,Breast Cancer
CCHM,Carcinoma with Chondroid Metaplasia,Breast Cancer
COM,Carcinoma with Osseous Metaplasia,Breast Cancer
MCS,Metaplastic Carcinosarcoma,Breast Cancer
GCLC,Giant Cell Carcinoma of the Lung,Lung Cancers
BLCLC,Basaloid Large Cell Carcinoma of the Lung,Lung Cancers
LECLC,Lymphoepithelioma-like Carcinoma of the Lung,Lung Cancers
RLCLC,Large Cell Lung Carcinoma With Rhabdoid Phenotype,Lung Cancers
CCLC,Clear Cell Carcinoma of the Lung,Lung Cancers
LUMEC,Mucoepidermoid Carcinoma of the Lung,Lung Cancers
LUACC,Adenoid Cystic Carcinoma of the Lung,Lung Cancers
PHM,Partial Hydatidiform Mole,Gynecological Cancers
CHM,Complete Hydatidiform Mole,Gynecological Cancers
IHM,Invasive Hydatidiform Mole,Gynecological Cancers
HGESS,High-Grade Endometrial Stromal Sarcoma,Gynecological Cancers
LGESS,Low-Grade Endometrial Stromal Sarcoma,Gynecological Cancers
ULMS,Uterine Leiomyosarcoma,Gynecological Cancers
UMLMS,Uterine Myxoid Leiomyosarcoma,Gynecological Cancers
UELMS,Uterine Epithelioid Leiomyosarcoma,Gynecological Cancers
ULM,Uterine Leiomyoma,Gynecological Cancers
USTUMP,Uterine Smooth Muscle Tumor of Uncertain Malignant Potential,Gynecological Cancers
HGSOC,High-Grade Serous Ovarian Cancer,Gynecological Cancers
LGSOC,Low-Grade Serous Ovarian Cancer,Gynecological Cancers
BTBEOV,"Brenner Tumor, Benign",Gynecological Cancers
BTBOV,"Brenner Tumor, Borderline",Gynecological Cancers
BTMOV,"Brenner Tumor, Malignant",Gynecological Cancers
EHCH,Extrahepatic Cholangiocarcinoma,Liver and Bile Duct Cancers
PHCH,Perihilar Cholangiocarcinoma,Liver and Bile Duct Cancers
IHCH,Intrahepatic Cholangiocarcinoma,Liver and Bile Duct Cancers
GBASC,Adenosquamous Carcinoma of the Gallbladder,Liver and Bile Duct Cancers
SCGBC,Small Cell Gallbladder Carcinoma,Liver and Bile Duct Cancers
GBAD,"Gallbladder Adenocarcinoma, NOS",Liver and Bile Duct Cancers
MLNPDGFRA,Myeloid/Lymphoid Neoplasms with PDGFRA Rearrangement,Hematological Malignancies
MLNPDGFRB,Myeloid/Lymphoid Neoplasms with PDGFRB Rearrangement,Hematological Malignancies
MLNFGFR1,Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement,Hematological Malignancies
MLNPCM1JAK2,Myeloid/Lymphoid Neoplasms with PCM1-JAK2,Hematological Malignancies
LCH,Langerhans Cell Histiocytosis,Hematological Malignancies
IDCS,Interdigitating Dendritic Cell Sarcoma,Hematological Malignancies
FRCT,Fibroblastic Reticular Cell Tumor,Hematological Malignancies
LCS,Langerhans Cell Sarcoma,Hematological Malignancies
FDCS,Follicular Dendritic Cell Sarcoma,Hematological Malignancies
IDCT,Indeterminate Dendritic Cell Tumor,Hematological Malignancies
XGA,Xanthogranuloma,Hematological Malignancies
RDD,Rosai-Dorfman Disease,Hematological Malignancies
ECD,Erdheim-Chester Disease,Hematological Malignancies
HS,Histiocytic Sarcoma,Hematological Malignancies
JMML,Juvenile Myelomonocytic Leukemia,Hematological Malignancies
MDSMPNU,"MDS/MPN, Unclassifiable",Hematological Malignancies
CMML,Chronic Myelomonocytic Leukemia,Hematological Malignancies
MDSMPNRST,MDS/MPN with Ring Sideroblasts and Thrombocytosis,Hematological Malignancies
ACML,"Atypical Chronic Myeloid Leukemia, BCR-ABL1-",Hematological Malignancies
MDSMD,MDS with Multilineage Dysplasia,Hematological Malignancies
MDSID5Q,MDS with Isolated Del(5q),Hematological Malignancies
MDSRS,MDS with Ring Sideroblasts,Hematological Malignancies
MDSEB,MDS with Excess Blasts,Hematological Malignancies
MDSSLD,MDS with Single Lineage Dysplasia,Hematological Malignancies
MDSU,"MDS, Unclassifiable",Hematological Malignancies
RCYC,Refractory Cytopenia of Childhood,Hematological Malignancies
AMLRGA,AML with Recurrent Genetic Abnormalities,Hematological Malignancies
AMLNOS,"AML, NOS",Hematological Malignancies
TMN,Therapy-Related Myeloid Neoplasms,Hematological Malignancies
MPRDS,Myeloid Proliferations Related to Down Syndrome,Hematological Malignancies
AMLMRC,AML with Myelodysplasia-Related Changes,Hematological Malignancies
MS,Myeloid Sarcoma,Hematological Malignancies
MPALKMT2A,Mixed Phenotype Acute Leukemia with t(v;11q23.3); KMT2A Rearranged,Hematological Malignancies
MPALBNOS,"Mixed Phenotype Acute Leukemia, B/Myeloid, NOS",Hematological Malignancies
AUL,Acute Undifferentiated Leukemia,Hematological Malignancies
MPALBCRABL1,Mixed Phenotype Acute Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1,Hematological Malignancies
MPALTNOS,"Mixed Phenotype Acute Leukemia, T/Myeloid, NOS",Hematological Malignancies
PMF,Primary Myelofibrosis,Hematological Malignancies
CELNOS,"Chronic Eosinophilic Leukemia, NOS",Hematological Malignancies
MPNU,"Myeloproliferative Neoplasms, Unclassifiable",Hematological Malignancies
ET,Essential Thrombocythemia,Hematological Malignancies
CNL,Chronic Neutrophilic Leukemia,Hematological Malignancies
CML,Chronic Myelogenous Leukemia,Hematological Malignancies
PV,Polycythemia Vera,Hematological Malignancies
SM,Systemic Mastocytosis,Hematological Malignancies
MCSL,Mast Cell Sarcoma,Hematological Malignancies
CMCD,Cutaneous Mastocytosis,Hematological Malignancies
SCEMU,Signet Ring Mucinous Carcinoma,Gynecological Cancers
GCEMU,Gastric Type Mucinous Carcinoma,Gynecological Cancers
ICEMU,Intestinal Type Mucinous Carcinoma,Gynecological Cancers
MTSCC,Renal Mucinous Tubular Spindle Cell Carcinoma,Bladder Cancer
CCPRC,Clear Cell Papillary Renal Cell Carcinoma,Bladder Cancer
URCC,Unclassified Renal Cell Carcinoma,Bladder Cancer
MRC,Renal Medullary Carcinoma,Bladder Cancer
RSCC,Renal Small Cell Carcinoma,Bladder Cancer
RAML,Renal Angiomyolipoma,Bladder Cancer
FHRCC,FH-Deficient Renal Cell Carcinoma,Bladder Cancer
ROCY,Renal Oncocytoma,Bladder Cancer
TRCC,Translocation-Associated Renal Cell Carcinoma,Bladder Cancer
SRCC,Sarcomatoid Renal Cell Carcinoma,Bladder Cancer
CHRCC,Chromophobe Renal Cell Carcinoma,Bladder Cancer
CDRCC,Collecting Duct Renal Cell Carcinoma,Bladder Cancer
PRCC,Papillary Renal Cell Carcinoma,Bladder Cancer
SCCRCC,Renal Clear Cell Carcinoma with Sarcomatoid Features,Bladder Cancer
CCOC,Clear Cell Odontogenic Carcinoma,Head and Neck Cancers
MBLNOS,"Medulloblastoma, NOS",Brain and Other Nervous System
MBLNWS,"Medulloblastoma, Non-WNT, Non-SHH",Brain and Other Nervous System
MBLWNT,"Medulloblastoma, WNT Subtype",Brain and Other Nervous System
MBLSHH,"Medulloblastoma, SHH Subtype",Brain and Other Nervous System
AMBLSHH,"Anaplastic Medulloblastoma, SHH Subtype",Brain and Other Nervous System
AMBLNOS,"Anaplastic Medulloblastoma, NOS",Brain and Other Nervous System
AMBLNWS,"Anaplastic Medulloblastoma, Non-WNT, Non-SHH",Brain and Other Nervous System
DMBLNOS,"Desmoplastic/Nodular Medulloblastoma, NOS",Brain and Other Nervous System
DMBLSHH,"Desmoplastic/Nodular Medulloblastoma, SHH Subtype",Brain and Other Nervous System
MBENNOS,"Medulloblastoma with Extensive Nodularity, NOS",Brain and Other Nervous System
MBENSHH,"Medulloblastoma with Extensive Nodularity, SHH Subtype",Brain and Other Nervous System
DMG,"Diffuse Midline Glioma, H3 K27-Altered",Brain and Other Nervous System
DPHGG,"Diffuse Pediatric-Type High-Grade Glioma, H3-Wildtype and IDH-Wildtype",Brain and Other Nervous System
IHG,Infant-Type Hemispheric Glioma,Brain and Other Nervous System
DHG,"Diffuse Hemispheric Glioma, H3 G34-Mutant",Brain and Other Nervous System
DLGGMAPK,"Diffuse Low-Grade Glioma, MAPK Pathway-Altered",Brain and Other Nervous System
DASTR,"Diffuse Astrocytoma, MYB- or MYBL1-Altered",Brain and Other Nervous System
LGNET,Polymorphous Low-Grade Neuroepithelial Tumor of the Young,Brain and Other Nervous System
ANGL,Angiocentric Glioma,Brain and Other Nervous System
ASTR,"Astrocytoma, IDH-Mutant",Brain and Other Nervous System
ODG,"Oligodendroglioma, IDH-mutant, and 1p/19q-Codeleted",Brain and Other Nervous System
GB,"Glioblastoma, IDH-Wildtype",Brain and Other Nervous System
CSCHW,Cellular Schwannoma,Brain and Other Nervous System
MSCHW,Melanotic Schwannoma,Brain and Other Nervous System
PSTAD,Papillary Stomach Adenocarcinoma,Esophageal Cancer
MSTAD,Mucinous Stomach Adenocarcinoma,Esophageal Cancer
DSTAD,Diffuse Type Stomach Adenocarcinoma,Esophageal Cancer
ISTAD,Intestinal Type Stomach Adenocarcinoma,Esophageal Cancer
TSTAD,Tubular Stomach Adenocarcinoma,Esophageal Cancer
SPDAC,Poorly Differentiated Carcinoma of the Stomach,Esophageal Cancer
SSRCC,Signet Ring Cell Carcinoma of the Stomach,Esophageal Cancer
BLLKMT2A,B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged,Hematological Malignancies
BLLTCF3PBX1,B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1,Hematological Malignancies
BLLHYPER,B-Lymphoblastic Leukemia/Lymphoma with Hyperdiploidy,Hematological Malignancies
BLLHYPO,B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy,Hematological Malignancies
BLLETV6RUNX1,B-Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1,Hematological Malignancies
BLLBCRABL1L,"B-Lymphoblastic Leukemia/Lymphoma, BCR-ABL1 Like",Hematological Malignancies
BLLIL3IGH,B-Lymphoblastic Leukemia/Lymphoma with t(5;14)(q31.1;q32.3) IL3-IGH,Hematological Malignancies
BLLIAMP21,B-Lymphoblastic Leukemia/Lymphoma with iAMP21,Hematological Malignancies
BLLBCRABL1,B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1,Hematological Malignancies
PCAECTCL,Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma,Hematological Malignancies
TPLL,T-Cell Prolymphocytic Leukemia,Hematological Malignancies
MYCF,Mycosis Fungoides,Hematological Malignancies
SPTCL,Subcutaneous Panniculitis-Like T-Cell Lymphoma,Hematological Malignancies
ALCL,Anaplastic Large Cell Lymphoma,Hematological Malignancies
SEBVTLC,Systemic EBV Positive T-Cell Lymphoma of Childhood,Hematological Malignancies
HSTCL,Hepatosplenic T-cell Lymphoma,Hematological Malignancies
ANKL,Aggressive NK-Cell Leukemia,Hematological Malignancies
FTCL,Follicular T-Cell Lymphoma,Hematological Malignancies
PCSMTPLD,Primary Cutaneous CD4 Positive Small/Medium T-Cell Lymphoproliferative Disorder,Hematological Malignancies
ENKL,"Extranodal NK-/T-Cell Lymphoma, Nasal Type",Hematological Malignancies
PCLPD,Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders,Hematological Malignancies
PTCL,"Peripheral T-Cell lymphoma, NOS",Hematological Malignancies
SS,Sezary Syndrome,Hematological Malignancies
PCGDTCL,Primary Cutaneous Gamma Delta T-Cell Lymphoma,Hematological Malignancies
HVLL,Hydroa Vacciniforme Like Lymphoproliferative Disorder,Hematological Malignancies
ATLL,Adult T-Cell Leukemia/Lymphoma,Hematological Malignancies
NPTLTFH,Nodal Peripheral T-Cell Lymphoma with TFH Phenotype,Hematological Malignancies
CLPDNK,Chronic Lymphoproliferative Disorder of NK Cells,Hematological Malignancies
MEITL,Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma,Hematological Malignancies
ITLPDGI,Indolent T-Cell Lymphoproliferative Disorder of the GI Tract,Hematological Malignancies
PCATCL,Primary Cutaneous Acral CD8 Positive T-Cell Lymphoma,Hematological Malignancies
EATL,Enteropathy-Associated T-Cell Lymphoma,Hematological Malignancies
TLGL,T-Cell Large Granular Lymphocytic Leukemia,Hematological Malignancies
AITL,Angioimmunoblastic T-Cell Lymphoma,Hematological Malignancies
AHCD,Alpha Heavy-Chain Disease,Hematological Malignancies
HGBCL,"High-Grade B-Cell Lymphoma, NOS",Hematological Malignancies
HHV8DLBCL,"HHV8 Positive DLBCL, NOS",Hematological Malignancies
GHCD,Gamma Heavy-Chain Disease,Hematological Malignancies
BLL11Q,Burkitt-Like Lymphoma with 11q Aberration,Hematological Malignancies
PEL,Primary Effusion Lymphoma,Hematological Malignancies
ALKLBCL,ALK Positive Large B-Cell Lymphoma,Hematological Malignancies
SPB,Solitary Plasmacytoma of Bone,Hematological Malignancies
MCBCL,Monoclonal B-Cell Lymphocytosis,Hematological Malignancies
EBVMCU,EBV Positive Mucocutaneous Ulcer,Hematological Malignancies
DLBCLCI,DLBCL Associated with Chronic Inflammation,Hematological Malignancies
BCLU,"B-Cell Lymphoma, Unclassifiable, with Features Intermediate between DLBCL and Classical Hodgkin lymphoma",Hematological Malignancies
MCL,Mantle Cell Lymphoma,Hematological Malignancies
MZL,Marginal Zone Lymphoma,Hematological Malignancies
MHCD,Mu Heavy-Chain Disease,Hematological Malignancies
PCFCL,Primary Cutaneous Follicle Center Lymphoma,Hematological Malignancies
HCL,Hairy Cell Leukemia,Hematological Malignancies
PCM,Plasma Cell Myeloma,Hematological Malignancies
MGUS,Monoclonal Gammopathy of Undetermined Significance,Hematological Malignancies
LBLIRF4,Large B-Cell Lymphoma with IRF4 Rearrangement,Hematological Malignancies
MIDD,Monoclonal Immunoglobulin Deposition Diseases,Hematological Malignancies
SBLU,"Splenic B-Cell Lymphoma/Leukemia, Unclassifiable",Hematological Malignancies
FL,Follicular Lymphoma,Hematological Malignancies
LPL,Lymphoplasmacytic Lymphoma,Hematological Malignancies
BL,Burkitt Lymphoma,Hematological Malignancies
BPLL,B-Cell Prolymphocytic Leukemia,Hematological Malignancies
PCNSL,Primary DLBCL of the central nervous system,Hematological Malignancies
PMBL,Primary Mediastinal (Thymic) Large B-Cell Lymphoma,Hematological Malignancies
PTFL,Pediatric-Type Follicular Lymphoma,Hematological Malignancies
THRLBCL,T-Cell/Histiocyte-Rich Large B-Cell Lymphoma,Hematological Malignancies
CLLSLL,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Hematological Malignancies
EBVDLBCLNOS,"EBV Positive DLBCL, NOS",Hematological Malignancies
EP,Extraosseous Plasmacytoma,Hematological Malignancies
DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Hematological Malignancies
PCLBCLLT,"Primary Cutaneous DLBCL, Leg Type",Hematological Malignancies
LYG,Lymphomatoid Granulomatosis,Hematological Malignancies
PLBL,Plasmablastic Lymphoma,Hematological Malignancies
HGBCLMYCBCL2,"High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements",Hematological Malignancies
IVBCL,Intravascular Large B-Cell Lymphoma,Hematological Malignancies
LDCHL,Lymphocyte-Depleted Classical Hodgkin Lymphoma,Hematological Malignancies
NSCHL,Nodular Sclerosis Classical Hodgkin Lymphoma,Hematological Malignancies
LRCHL,Lymphocyte-Rich Classical Hodgkin Lymphoma,Hematological Malignancies
MCCHL,Mixed Cellularity Classical Hodgkin Lymphoma,Hematological Malignancies
JXG,Disseminated Juvenile Xanthogranuloma,Hematological Malignancies
CMML2,Chronic Myelomonocytic Leukemia-2,Hematological Malignancies
CMML0,Chronic Myelomonocytic Leukemia-0,Hematological Malignancies
CMML1,Chronic Myelomonocytic Leukemia-1,Hematological Malignancies
MDSRSSLD,MDS with Ring Sideroblasts and Single Lineage Dysplasia,Hematological Malignancies
MDSRSMD,MDS with Ring Sideroblasts and Multilineage Dysplasia,Hematological Malignancies
MDSEB1,MDS with excess blasts-1,Hematological Malignancies
