code,name,user_broad_cancer
MRTL,Malignant Rhabdoid Tumor of the Liver,Liver and Bile Duct Cancers
FLC,Fibrolamellar Carcinoma,Liver and Bile Duct Cancers
UESL,Undifferentiated Embryonal Sarcoma of the Liver,Liver and Bile Duct Cancers
LIMNET,Malignant Nonepithelial Tumor of the Liver,Liver and Bile Duct Cancers
HCCIHCH,Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,Liver and Bile Duct Cancers
LIAS,Liver Angiosarcoma,Liver and Bile Duct Cancers
MBGN,Myeloid Benign,Hematological Malignancies
MNM,Myeloid Neoplasm,Hematological Malignancies
MATPL,Myeloid Atypical,Hematological Malignancies
VSC,Squamous Cell Carcinoma of the Vulva/Vagina,Gynecological Cancers
VPDC,Poorly Differentiated Vaginal Carcinoma,Gynecological Cancers
VGCT,Germ Cell Tumor of the Vulva,Gynecological Cancers
VA,Vaginal Adenocarcinoma,Gynecological Cancers
VMA,Mucinous Adenocarcinoma of the Vulva/Vagina,Gynecological Cancers
VMM,Mucosal Melanoma of the Vulva/Vagina,Gynecological Cancers
THPD,Poorly Differentiated Thyroid Cancer,Thyroid Cancer
OAT,Oncocytic Adenoma of the Thyroid,Thyroid Cancer
THAP,Anaplastic Thyroid Cancer,Thyroid Cancer
WDTC,Well-Differentiated Thyroid Cancer,Thyroid Cancer
THHC,Hurthle Cell Thyroid Cancer,Thyroid Cancer
THME,Medullary Thyroid Cancer,Thyroid Cancer
HTAT,Hyalinizing Trabecular Adenoma of the Thyroid,Thyroid Cancer
CERMS,Cervical Rhabdomyosarcoma,Gynecological Cancers
CEAS,Cervical Adenosquamous Carcinoma,Gynecological Cancers
CESC,Cervical Squamous Cell Carcinoma,Gynecological Cancers
SCCE,Small Cell Carcinoma of the Cervix,Gynecological Cancers
VGCE,Villoglandular Adenocarcinoma of the Cervix,Gynecological Cancers
MCCE,Mixed Cervical Carcinoma,Gynecological Cancers
CABC,Cervical Adenoid Basal Carcinoma,Gynecological Cancers
CACC,Cervical Adenoid Cystic Carcinoma,Gynecological Cancers
CENE,Cervical Neuroendocrine Tumor,Gynecological Cancers
CEGCC,Glassy Cell Carcinoma of the Cervix,Gynecological Cancers
CEAIS,Cervical Adenocarcinoma In Situ,Gynecological Cancers
CEAD,Cervical Adenocarcinoma,Gynecological Cancers
CELI,Cervical Leiomyosarcoma,Gynecological Cancers
FIBS,Fibrosarcoma,Soft Tissue Cancers (including Heart)
DCS,Dendritic Cell Sarcoma,Soft Tissue Cancers (including Heart)
RMS,Rhabdomyosarcoma,Soft Tissue Cancers (including Heart)
AFH,Angiomatoid Fibrous Histiocytoma,Soft Tissue Cancers (including Heart)
SYNS,Synovial Sarcoma,Soft Tissue Cancers (including Heart)
MGST,Malignant Glomus Tumor,Soft Tissue Cancers (including Heart)
PMHE,Pseudomyogenic Hemangioendothelioma,Soft Tissue Cancers (including Heart)
IMS,Myofibromatosis,Soft Tissue Cancers (including Heart)
EPIS,Epithelioid Sarcoma,Soft Tissue Cancers (including Heart)
GIST,Gastrointestinal Stromal Tumor,Soft Tissue Cancers (including Heart)
IMT,Inflammatory Myofibroblastic Tumor,Soft Tissue Cancers (including Heart)
RCSNOS,"Round Cell Sarcoma, NOS",Soft Tissue Cancers (including Heart)
SFT,Solitary Fibrous Tumor/Hemangiopericytoma,Soft Tissue Cancers (including Heart)
LGFMS,Low-Grade Fibromyxoid Sarcoma,Soft Tissue Cancers (including Heart)
IFS,Infantile Fibrosarcoma,Soft Tissue Cancers (including Heart)
LIPO,Liposarcoma,Soft Tissue Cancers (including Heart)
PGNG,Paraganglioma,Soft Tissue Cancers (including Heart)
MF,Myofibroma,Soft Tissue Cancers (including Heart)
GS,Glomangiosarcoma,Soft Tissue Cancers (including Heart)
DES,Desmoid/Aggressive Fibromatosis,Soft Tissue Cancers (including Heart)
MPC,Myopericytoma,Soft Tissue Cancers (including Heart)
DSRCT,Desmoplastic Small-Round-Cell Tumor,Soft Tissue Cancers (including Heart)
TGCT,Tenosynovial Giant Cell Tumor Diffuse Type,Soft Tissue Cancers (including Heart)
RAS,Radiation-Associated Sarcoma,Soft Tissue Cancers (including Heart)
MYXO,Myxoma,Soft Tissue Cancers (including Heart)
ANGS,Angiosarcoma,Soft Tissue Cancers (including Heart)
SARCNOS,"Sarcoma, NOS",Soft Tissue Cancers (including Heart)
HEMA,Hemangioma,Soft Tissue Cancers (including Heart)
EHAE,Epithelioid Hemangioendothelioma,Soft Tissue Cancers (including Heart)
ASPS,Alveolar Soft Part Sarcoma,Soft Tissue Cancers (including Heart)
LM,Leiomyoma,Soft Tissue Cancers (including Heart)
ALT,Atypical Lipomatous Tumor,Soft Tissue Cancers (including Heart)
PECOMA,Perivascular Epithelioid Cell Tumor,Soft Tissue Cancers (including Heart)
MFS,Myxofibrosarcoma,Soft Tissue Cancers (including Heart)
AA,Aggressive Angiomyxoma,Soft Tissue Cancers (including Heart)
CCS,Clear Cell Sarcoma,Soft Tissue Cancers (including Heart)
INTS,Intimal Sarcoma,Soft Tissue Cancers (including Heart)
STMYEC,Soft Tissue Myoepithelial Carcinoma,Soft Tissue Cancers (including Heart)
MFH,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue Cancers (including Heart)
ESST,Ewing Sarcoma of Soft Tissue,Soft Tissue Cancers (including Heart)
LMS,Leiomyosarcoma,Soft Tissue Cancers (including Heart)
APAD,Appendiceal Adenocarcinoma,Colorectal Cancer
COADREAD,Colorectal Adenocarcinoma,Colorectal Cancer
LAMN,Low-grade Appendiceal Mucinous Neoplasm,Colorectal Cancer
AGA,Anal Gland Adenocarcinoma,Colorectal Cancer
SIC,Small Intestinal Carcinoma,Colorectal Cancer
ARMM,Anorectal Mucosal Melanoma,Colorectal Cancer
GINET,Gastrointestinal Neuroendocrine Tumors,Colorectal Cancer
ANSC,Anal Squamous Cell Carcinoma,Colorectal Cancer
SBC,Small Bowel Cancer,Colorectal Cancer
TAC,Tubular Adenoma of the Colon,Colorectal Cancer
CMC,Medullary Carcinoma of the Colon,Colorectal Cancer
PSCC,Penile Squamous Cell Carcinoma,Solid Tumors
PSEC,Peritoneal Serous Carcinoma,Gynecological Cancers
PEMESO,Peritoneal Mesothelioma,Gynecological Cancers
TET,Thymic Epithelial Tumor,Lung Cancers
TNET,Thymic Neuroendocrine Tumor,Lung Cancers
ACC,Adrenocortical Carcinoma,Adrenal Cancer and Neuroendocrine Tumors
PHC,Pheochromocytoma,Adrenal Cancer and Neuroendocrine Tumors
ACA,Adrenocortical Adenoma,Adrenal Cancer and Neuroendocrine Tumors
TLYM,Testicular Lymphoma,Solid Tumors
NSGCT,Non-Seminomatous Germ Cell Tumor,Solid Tumors
SEM,Seminoma,Solid Tumors
TSCST,Sex Cord Stromal Tumor,Solid Tumors
TMESO,Testicular Mesothelioma,Solid Tumors
RNET,Renal Neuroendocrine Tumor,Bladder Cancer
MRT,Rhabdoid Cancer,Bladder Cancer
CCSK,Clear Cell Sarcoma of Kidney,Bladder Cancer
RCC,Renal Cell Carcinoma,Bladder Cancer
WT,Wilms' Tumor,Bladder Cancer
PLMESO,Pleural Mesothelioma,Lung Cancers
SACA,Salivary Carcinoma,Head and Neck Cancers
SBL,Sialoblastoma,Head and Neck Cancers
NPC,Nasopharyngeal Carcinoma,Head and Neck Cancers
HNMUCM,Head and Neck Mucosal Melanoma,Head and Neck Cancers
PTH,Parathyroid Cancer,Head and Neck Cancers
HNSC,Head and Neck Squamous Cell Carcinoma,Head and Neck Cancers
OHNCA,"Head and Neck Carcinoma, Other",Head and Neck Cancers
BGCT,"Germ Cell Tumor, Brain",Brain and Other Nervous System
MNGT,Meningothelial Tumor,Brain and Other Nervous System
EMBT,Embryonal Tumor,Brain and Other Nervous System
SELT,Sellar Tumor,Brain and Other Nervous System
EPMT,Ependymomal Tumor,Brain and Other Nervous System
MNET,Miscellaneous Neuroepithelial Tumor,Brain and Other Nervous System
CPT,Choroid Plexus Tumor,Brain and Other Nervous System
PCNSMT,Primary CNS Melanocytic Tumors,Brain and Other Nervous System
PINT,Pineal Tumor,Brain and Other Nervous System
ENCG,Encapsulated Glioma,Brain and Other Nervous System
MBT,Miscellaneous Brain Tumor,Brain and Other Nervous System
DIFG,Diffuse Glioma,Brain and Other Nervous System
PRAD,Prostate Adenocarcinoma,Prostate Cancer
BCCP,Basal Cell Carcinoma of Prostate,Prostate Cancer
PRSCC,Prostate Small Cell Carcinoma,Prostate Cancer
PRNE,Prostate Neuroendocrine Carcinoma,Prostate Cancer
PRSC,Prostate Squamous Cell Carcinoma,Prostate Cancer
AMPCA,Ampullary Carcinoma,Ampullary Adenocarcinoma
GNBL,Ganglioneuroblastoma,Brain and Other Nervous System
NBL,Neuroblastoma,Brain and Other Nervous System
NST,Nerve Sheath Tumor,Brain and Other Nervous System
GN,Ganglioneuroma,Brain and Other Nervous System
ES,Ewing Sarcoma,Bone and Joint Cancers
CHS,Chondrosarcoma,Bone and Joint Cancers
CHBL,Chondroblastoma,Bone and Joint Cancers
CHDM,Chordoma,Bone and Joint Cancers
OS,Osteosarcoma,Bone and Joint Cancers
ADMA,Adamantinoma,Bone and Joint Cancers
GCTB,Giant Cell Tumor of Bone,Bone and Joint Cancers
ARCH,Adenocarcinoma in Retrorectal Cystic Hamartoma,Solid Tumors
EGCT,Extra Gonadal Germ Cell Tumor,Solid Tumors
AIS,Adenocarcinoma In Situ,Solid Tumors
MIXED,Mixed Cancer Types,Solid Tumors
CUP,Cancer of Unknown Primary,Solid Tumors
SMN,"Smooth Muscle Neoplasm, NOS",Esophageal Cancer
EPDCA,Esophageal Poorly Differentiated Carcinoma,Esophageal Cancer
GINETES,Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach,Esophageal Cancer
ESCC,Esophageal Squamous Cell Carcinoma,Esophageal Cancer
ESMM,Mucosal Melanoma of the Esophagus,Esophageal Cancer
EGC,Esophagogastric Adenocarcinoma,Esophageal Cancer
PTLD,Posttransplant Lymphoproliferative Disorders,Hematological Malignancies
BLL,B-Lymphoblastic Leukemia/Lymphoma,Hematological Malignancies
NHL,Non-Hodgkin Lymphoma,Hematological Malignancies
HL,Hodgkin Lymphoma,Hematological Malignancies
TLL,T-Lymphoblastic Leukemia/Lymphoma,Hematological Malignancies
BA,Breast Angiosarcoma,Breast Cancer
MDLC,Breast Mixed Ductal and Lobular Carcinoma,Breast Cancer
ACBC,Adenoid Cystic Breast Cancer,Breast Cancer
ILC,Breast Invasive Lobular Carcinoma,Breast Cancer
BRSRCC,Breast Carcinoma with Signet Ring,Breast Cancer
CSNOS,"Breast Invasive Carcinosarcoma, NOS",Breast Cancer
IDC,Breast Invasive Ductal Carcinoma,Breast Cancer
BRCNOS,"Breast Invasive Carcinoma, NOS",Breast Cancer
BRCANOS,"Breast Invasive Cancer, NOS",Breast Cancer
SPC,Solid Papillary Carcinoma of the Breast,Breast Cancer
IMMC,Breast Invasive Mixed Mucinous Carcinoma,Breast Cancer
PT,Phyllodes Tumor of the Breast,Breast Cancer
FA,Fibroadenoma,Breast Cancer
PD,Paget Disease of the Nipple,Breast Cancer
EMBC,Epithelial Type Metaplastic Breast Cancer,Breast Cancer
MMBC,Mixed Type Metaplastic Breast Cancer,Breast Cancer
SCLG,Squamous Cell Carcinoma of the Lacrimal Gland,Brain and Other Nervous System
ACLG,Adenoid Cystic Carcinoma of the Lacrimal Gland,Brain and Other Nervous System
UM,Uveal Melanoma,Brain and Other Nervous System
CM,Conjunctival Melanoma,Brain and Other Nervous System
UAD,Urethral Adenocarcinoma,Bladder Cancer
UCU,Urethral Urothelial Carcinoma,Bladder Cancer
USCC,Urethral Squamous Cell Carcinoma,Bladder Cancer
UA,Urachal Adenocarcinoma,Bladder Cancer
SCLC,Small Cell Lung Cancer,Lung Cancers
LUNE,Large Cell Neuroendocrine Carcinoma,Lung Cancers
LUCA,Lung Carcinoid,Lung Cancers
ALUCA,Atypical Lung Carcinoid,Lung Cancers
NUTCL,NUT Carcinoma of the Lung,Lung Cancers
LUAS,Lung Adenosquamous Carcinoma,Lung Cancers
LUSC,Lung Squamous Cell Carcinoma,Lung Cancers
LCLC,Large Cell Lung Carcinoma,Lung Cancers
LUPC,Pleomorphic Carcinoma of the Lung,Lung Cancers
CMPT,Ciliated Muconodular Papillary Tumor of the Lung,Lung Cancers
NSCLCPD,Poorly Differentiated Non-Small Cell Lung Cancer,Lung Cancers
SGTTL,Salivary Gland-Type Tumor of the Lung,Lung Cancers
SPCC,Spindle Cell Carcinoma of the Lung,Lung Cancers
LUAD,Lung Adenocarcinoma,Lung Cancers
UDDC,Uterine Dedifferentiated Carcinoma,Gynecological Cancers
UCCC,Uterine Clear Cell Carcinoma,Gynecological Cancers
UMC,Uterine Mucinous Carcinoma,Gynecological Cancers
UMNC,Uterine Mesonephric Carcinoma,Gynecological Cancers
UASC,Uterine Adenosquamous Carcinoma,Gynecological Cancers
UMEC,Uterine Mixed Endometrial Carcinoma,Gynecological Cancers
UUC,Uterine Undifferentiated Carcinoma,Gynecological Cancers
UEC,Uterine Endometrioid Carcinoma,Gynecological Cancers
USC,Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma,Gynecological Cancers
UPDC,Poorly Differentiated Carcinoma of the Uterus,Gynecological Cancers
UNEC,Uterine Neuroendocrine Carcinoma,Gynecological Cancers
UCS,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,Gynecological Cancers
ETT,Epithelioid Trophoblastic Tumor,Gynecological Cancers
PSTT,Placental Site Trophoblastic Tumor,Gynecological Cancers
MP,Molar Pregnancy,Gynecological Cancers
UCCA,Choriocarcinoma,Gynecological Cancers
UPECOMA,Uterine Perivascular Epithelioid Cell Tumor,Gynecological Cancers
ESS,Endometrial Stromal Sarcoma,Gynecological Cancers
OUSARC,"Uterine Sarcoma, Other",Gynecological Cancers
UAS,Uterine Adenosarcoma,Gynecological Cancers
UUS,Undifferentiated Uterine Sarcoma,Gynecological Cancers
USMT,Uterine Smooth Muscle Tumor,Gynecological Cancers
OCNOS,"Ovarian Choriocarcinoma, NOS",Gynecological Cancers
HGONEC,High-Grade Neuroendocrine Carcinoma of the Ovary,Gynecological Cancers
HGSFT,High-Grade Serous Fallopian Tube Cancer,Gynecological Cancers
SOC,Serous Ovarian Cancer,Gynecological Cancers
CCBOV,Clear Cell Borderline Ovarian Tumor,Gynecological Cancers
OSMCA,Ovarian Seromucinous Carcinoma,Gynecological Cancers
MBOV,Mucinous Borderline Ovarian Tumor,Gynecological Cancers
OSMBT,Ovarian Seromucinous Borderline Tumor,Gynecological Cancers
SBOV,Serous Borderline Ovarian Tumor,Gynecological Cancers
MOV,Mucinous Ovarian Cancer,Gynecological Cancers
OCS,Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor,Gynecological Cancers
EBOV,Endometrioid Borderlin Ovarian Tumor,Gynecological Cancers
BTOV,Brenner Tumor,Gynecological Cancers
OSMAD,Ovarian Seromucinous Adenoma,Gynecological Cancers
EOV,Endometrioid Ovarian Cancer,Gynecological Cancers
SBMOV,"Serous Borderline Ovarian Tumor, Micropapillary",Gynecological Cancers
MXOV,Mixed Ovarian Carcinoma,Gynecological Cancers
CCOV,Clear Cell Ovarian Cancer,Gynecological Cancers
SCCO,Small Cell Carcinoma of the Ovary,Gynecological Cancers
OMT,Mature Teratoma,Gynecological Cancers
ODYS,Dysgerminoma,Gynecological Cancers
OEC,Embryonal Carcinoma,Gynecological Cancers
OYST,Yolk Sac Tumor,Gynecological Cancers
OIMT,Immature Teratoma,Gynecological Cancers
OPE,Polyembryoma,Gynecological Cancers
OMGCT,Mixed Germ Cell Tumor,Gynecological Cancers
GRCT,Granulosa Cell Tumor,Gynecological Cancers
OGBL,Gonadoblastoma,Gynecological Cancers
FT,Fibrothecoma,Gynecological Cancers
SLCT,Sertoli-Leydig Cell Tumor,Gynecological Cancers
SCT,"Steroid Cell Tumor, NOS",Gynecological Cancers
OSGCT,Osteoclastic Giant Cell Tumor,Pancreatic Cancer
PSC,Serous Cystadenoma of the Pancreas,Pancreatic Cancer
MCN,Mucinous Cystic Neoplasm,Pancreatic Cancer
IPMN,Intraductal Papillary Mucinous Neoplasm,Pancreatic Cancer
ITPN,Intraductal Tubulopapillary Neoplasm,Pancreatic Cancer
IOPN,Intraductal Oncocytic Papillary Neoplasm,Pancreatic Cancer
CHOL,Cholangiocarcinoma,Liver and Bile Duct Cancers
GBC,Gallbladder Cancer,Liver and Bile Duct Cancers
ACRM,Acral Melanoma,Skin Cancers
SKCM,Cutaneous Melanoma,Skin Cancers
DESM,Desmoplastic Melanoma,Skin Cancers
SKCN,Congenital Nevus,Skin Cancers
SPZM,Spitzoid Melanoma,Skin Cancers
MUP,Melanoma of Unknown Primary,Skin Cancers
SKLMM,Lentigo Maligna Melanoma,Skin Cancers
MLNER,Myeloid/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2,Hematological Malignancies
HDCN,Histiocytic and Dendritic Cell Neoplasms,Hematological Malignancies
MPNWP,Myeloproliferative Workup,Hematological Malignancies
MDS/MPN,Myelodysplastic/Myeloproliferative Neoplasms,Hematological Malignancies
MNGLP,Myeloid Neoplasms with Germ Line Predisposition,Hematological Malignancies
NVRINT,Neoplastic Vs Reactive,Hematological Malignancies
MDS,Myelodysplastic Syndromes,Hematological Malignancies
AML,Acute Myeloid Leukemia,Hematological Malignancies
BPDCN,Blastic Plasmacytoid Dendritic Cell Neoplasm,Hematological Malignancies
MDSWP,Myelodysplastic Workup,Hematological Malignancies
ALAL,Acute Leukemias of Ambiguous Lineage,Hematological Malignancies
MPN,Myeloproliferative Neoplasms,Hematological Malignancies
MCD,Mastocytosis,Hematological Malignancies
VDYS,Dysgerminoma,Gynecological Cancers
VIMT,Immature Teratoma,Gynecological Cancers
VPE,Polyembryoma,Gynecological Cancers
VYST,Yolk Sac Tumor,Gynecological Cancers
VMT,Mature Teratoma,Gynecological Cancers
VMGCT,Mixed Germ Cell Tumor,Gynecological Cancers
VOEC,Embryonal Carcinoma,Gynecological Cancers
THFO,Follicular Thyroid Cancer,Thyroid Cancer
THPA,Papillary Thyroid Cancer,Thyroid Cancer
CEEN,Cervical Endometrioid Carcinoma,Gynecological Cancers
CEMU,Mucinous Carcinoma,Gynecological Cancers
CESE,Cervical Serous Carcinoma,Gynecological Cancers
CEMN,Mesonephric Carcinoma,Gynecological Cancers
CEVG,Villoglandular Carcinoma,Gynecological Cancers
CECC,Cervical Clear Cell Carcinoma,Gynecological Cancers
ECAD,Endocervical Adenocarcinoma,Gynecological Cancers
SEF,Sclerosing Epithelioid Fibrosarcoma,Soft Tissue Cancers (including Heart)
HDCS,Histiocytic Dendritic Cell Sarcoma,Soft Tissue Cancers (including Heart)
ARMS,Alveolar Rhabdomyosarcoma,Soft Tissue Cancers (including Heart)
SCRMS,Spindle Cell Rhabdomyosarcoma,Soft Tissue Cancers (including Heart)
ERMS,Embryonal Rhabdomyosarcoma,Soft Tissue Cancers (including Heart)
SCSRMS,Spindle Cell/Sclerosing Rhabdomyosarcoma,Soft Tissue Cancers (including Heart)
PLRMS,Pleomorphic Rhabdomyosarcoma,Soft Tissue Cancers (including Heart)
PTES,Proximal-Type Epithelioid Sarcoma,Soft Tissue Cancers (including Heart)
PLLS,Pleomorphic Liposarcoma,Soft Tissue Cancers (including Heart)
DDLS,Dedifferentiated Liposarcoma,Soft Tissue Cancers (including Heart)
MRLS,Myxoid/Round-Cell Liposarcoma,Soft Tissue Cancers (including Heart)
WDLS,Well-Differentiated Liposarcoma,Soft Tissue Cancers (including Heart)
OFMT,Ossifying Fibromyxoid Tumor,Soft Tissue Cancers (including Heart)
CTAAP,Colonic Type Adenocarcinoma of the Appendix,Colorectal Cancer
SRAP,Signet Ring Cell Type of the Appendix,Colorectal Cancer
GCCAP,Goblet Cell Adenocarcinoma of the Appendix,Colorectal Cancer
MAAP,Mucinous Adenocarcinoma of the Appendix,Colorectal Cancer
READ,Rectal Adenocarcinoma,Colorectal Cancer
MACR,Mucinous Adenocarcinoma of the Colon and Rectum,Colorectal Cancer
COAD,Colon Adenocarcinoma,Colorectal Cancer
SRCCR,Signet Ring Cell Adenocarcinoma of the Colon and Rectum,Colorectal Cancer
CAIS,Colon Adenocarcinoma In Situ,Colorectal Cancer
HGNEC,High-Grade Neuroendocrine Carcinoma of the Colon and Rectum,Colorectal Cancer
SBWDNET,Small Bowel Well-Differentiated Neuroendocrine Tumor,Colorectal Cancer
RWDNET,Well-Differentiated Neuroendocrine Tumor of the Rectum,Colorectal Cancer
AWDNET,Well-Differentiated Neuroendocrine Tumor of the Appendix,Colorectal Cancer
DA,Duodenal Adenocarcinoma,Colorectal Cancer
VPSCC,Verrucous Penile Squamous Cell Carcinoma,Solid Tumors
WPSCC,Warty Penile Squamous Cell Carcinoma,Solid Tumors
BPSCC,Basaloid Penile Squamous Cell Carcinoma,Solid Tumors
THYM,Thymoma,Lung Cancers
THYC,Thymic Carcinoma,Lung Cancers
