Broad Cancers,Gene,Gene Aliases,Gene Type,Broad Cancers
Hematological Malignancies,IKZF1,"IKZF1, Hs.54452, IKAROS, LyF-1, PPP1R92, ZNFN1A1, hIk-1",INSUFFICIENT_EVIDENCE,Hematological Malignancies
Hematological Malignancies,IL3,"IL3, IL-3, MCGF, MGC79398, MGC79399, MULTI-CSF",ONCOGENE,Hematological Malignancies
Hematological Malignancies,IRF4,"IRF4, LSIRF, MUM1",ONCOGENE,Hematological Malignancies
Hematological Malignancies,JAK2,"JAK2, JTK10",ONCOGENE,Hematological Malignancies
"Hematological Malignancies, Gastrointestinal Stromal Tumors, Skin Cancers",KIT,"KIT, C-Kit, CD117, PBT, SCFR",ONCOGENE,"Hematological Malignancies, Gastrointestinal Stromal Tumors, Skin Cancers"
Hematological Malignancies,KLF2,"KLF2, LKLF",TSG,Hematological Malignancies
Hematological Malignancies,KMT2A,"KMT2A, ALL-1, CXXC7, HRX, HTRX1, MLL, MLL1A, TRX1",TSG,Hematological Malignancies
Hematological Malignancies,KMT2D,"KMT2D, ALR, CAGL114, MLL2, TNRC21",TSG,Hematological Malignancies
"Colorectal Cancer, Lung Cancers, Gynecological Cancers, Ampullary Adenocarcinoma, Liver and Bile Duct Cancers, Pancreatic Cancer, Small Instestine Cancers, Colorectal Cancer, Esophageal Cancer, Anal Cancer, Adrenal Cancer and Neuroendocrine Tumors, All Solid Tumors",KRAS,"KRAS, K-Ras4B, KRAS1, KRAS2",ONCOGENE,"Colorectal Cancer, Lung Cancers, Gynecological Cancers, Ampullary Adenocarcinoma, Liver and Bile Duct Cancers, Pancreatic Cancer, Small Instestine Cancers, Colorectal Cancer, Esophageal Cancer, Anal Cancer, Adrenal Cancer and Neuroendocrine Tumors, All Solid Tumors"
Hematological Malignancies,MALT1,"MALT1, MLT, PCASP1",INSUFFICIENT_EVIDENCE,Hematological Malignancies
Soft Tissue Cancers (including Heart),MDM2,"MDM2, HDM2, MGC5370",ONCOGENE,Soft Tissue Cancers (including Heart)
Lung Cancers,MET,"MET, DFNB97, HGFR, RCCP2",ONCOGENE,Lung Cancers
Hematological Malignancies,MLLT10,"MLLT10, AF10",ONCOGENE,Hematological Malignancies
Hematological Malignancies,MPL,"MPL, CD110, THPOR, TPOR",ONCOGENE,Hematological Malignancies
Hematological Malignancies,MYC,"MYC, MYCC, bHLHe39, c-Myc",ONCOGENE,Hematological Malignancies
Hematological Malignancies,MYD88,"MYD88, ",ONCOGENE,Hematological Malignancies
Soft Tissue Cancers (including Heart),NF1,"NF1, ",TSG,Soft Tissue Cancers (including Heart)
Hematological Malignancies,NPM1,"NPM1, B23, NPM",TSG,Hematological Malignancies
Skin Cancers,NRAS,"NRAS, N-ras",ONCOGENE,Skin Cancers
Pancreatic Cancer,NRG1,"NRG1, GGF, HGL, NDF, NRG1-IT2",ONCOGENE,Pancreatic Cancer
Hematological Malignancies,NSD2,"NSD2, KMT3G, MMSET, WHSC1",ONCOGENE,Hematological Malignancies
All Solid Tumors,NTRK1,"NTRK1, MTC, TRKA",ONCOGENE,All Solid Tumors
All Solid Tumors,NTRK3,"NTRK3, TRKC",ONCOGENE,All Solid Tumors
Pancreatic Cancer,PALB2,"PALB2, FANCN, FLJ21816",TSG,Pancreatic Cancer
"Gastrointestinal Stromal Tumors, Hematological Malignancies",PDGFRA,"PDGFRA, CD140a, GAS9, PDGFR2",ONCOGENE,"Gastrointestinal Stromal Tumors, Hematological Malignancies"
Hematological Malignancies,PDGFRB,"PDGFRB, CD140b, JTK12, PDGFR, PDGFR1",ONCOGENE,Hematological Malignancies
Breast Cancer,PIK3CA,"PIK3CA, PI3K",ONCOGENE,Breast Cancer
"Colorectal Cancer, Small Instestine Cancers",POLD1,"POLD1, POLD",TSG,"Colorectal Cancer, Small Instestine Cancers"
"Colorectal Cancer, Small Instestine Cancers",POLE,"POLE, POLE1",TSG,"Colorectal Cancer, Small Instestine Cancers"
Gynecological Cancers,PPP2R1A,"PPP2R1A, PP2A-Aalpha, PP2AA, PR65A",TSG,Gynecological Cancers
Brain and Other Nervous System,PTCH1,"PTCH1, BCNS, NBCCS, PTCH",TSG,Brain and Other Nervous System
Hematological Malignancies,RARA,"RARA, NR1B1",INSUFFICIENT_EVIDENCE,Hematological Malignancies
Hematological Malignancies,RBM15,"RBM15, OTT, OTT1",ONCOGENE_AND_TSG,Hematological Malignancies
"Thyroid Cancer, Thyroid Cancer",RET,"RET, CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, RET51",ONCOGENE,"Thyroid Cancer, Thyroid Cancer"
Lung Cancers,ROS1,"ROS1, MCF3, ROS, c-ros-1",ONCOGENE,Lung Cancers
Hematological Malignancies,RUNX1,"RUNX1, AML1, AMLCR1, CBFA2, PEBP2A2",TSG,Hematological Malignancies
Hematological Malignancies,SF3B1,"SF3B1, Hsh155, PRPF10, Prp10, SAP155, SF3b155",ONCOGENE,Hematological Malignancies
Esophageal Cancer,SMARCA4,"SMARCA4, BRG1, FLJ39786, SNF2-BETA, SNF2L4, hSNF2b",TSG,Esophageal Cancer
Soft Tissue Cancers (including Heart),SMARCB1,"SMARCB1, BAF47, Ini1, PPP1R144, RDT, SNF5, SNF5L1, Sfh1p, Snr1, hSNFS",TSG,Soft Tissue Cancers (including Heart)
Hematological Malignancies,SRSF2,"SRSF2, PR264, SC-35, SC35, SFRS2, SFRS2A",INSUFFICIENT_EVIDENCE,Hematological Malignancies
Hematological Malignancies,TCL1B,"TCL1B, TML1",ONCOGENE,Hematological Malignancies
"All Solid Tumors, Hematological Malignancies",TP53,"TP53, LFS1, p53",TSG,"All Solid Tumors, Hematological Malignancies"
Brain and Other Nervous System,TSC1,"TSC1, KIAA0243, TSC, hamartin",TSG,Brain and Other Nervous System
"Soft Tissue Cancers (including Heart), Gynecological Cancers",TSC2,"TSC2, LAM, PPP1R160, TSC4, tuberin",TSG,"Soft Tissue Cancers (including Heart), Gynecological Cancers"
Hematological Malignancies,U2AF1,"U2AF1, RNU2AF1, U2AF35, U2AFBP",ONCOGENE,Hematological Malignancies
