drug_name_lower,currently_resolves_to_bucket,bucket_generic_name,trials_referencing_this_name
tislelizumab),trastuzumab-qyyp,trastuzumab-qyyp,1
tislelizumab.,trastuzumab-qyyp,trastuzumab-qyyp,1
tislelizumab; atezolizumab,trastuzumab-qyyp,trastuzumab-qyyp,0
tislelizumab（adjuvant）,trastuzumab-qyyp,trastuzumab-qyyp,2
tislelizumab（neoadjuvant）,trastuzumab-qyyp,trastuzumab-qyyp,2
tislelizumab，atezolizumab,trastuzumab-qyyp,trastuzumab-qyyp,1
tkis,...,...,0
tkm-080301,gp100 human melanoma peptide,gp100 human melanoma peptide,3
tlc-178,tlc178,TLC178,0
tlc178,tlc178,TLC178,1
tlnp-mrna car-t,...,...,0
tlnps,...,...,0
tlx591-cdx,[68ga]ga-psma,[68Ga]Ga-PSMA,0
tmmstn-01,...,...,0
tmod™,...,...,0
tmz,temozolomide,temozolomide,18
tmz following soc rt,temozolomide,temozolomide,0
tmz in recurrent astrocytoma,temozolomide,temozolomide,0
tmz maintenance,temozolomide,temozolomide,0
tn-depleted dli,...,...,0
tnf,...,...,0
tnf α,...,...,0
tnf-alpha,...,...,0
tnfa,...,...,0
tnfsf2,...,...,0
tnhyp218,...,...,0
to bevacizumab,trastuzumab-qyyp,trastuzumab-qyyp,1
to bibf 1120 es,da-epoch-r followed by nivolumab,DA-EPOCH-R followed by Nivolumab,0
to pembrolizumab,pembrolizumab and berahyaluronidase alfa-pmph,pembrolizumab and berahyaluronidase alfa-pmph,2
to pomalidomide,velcade thalidomide dexamethasone,Velcade Thalidomide Dexamethasone,1
tocofeno,clomiphene citrate,clomiphene citrate,0
tocosol paclitaxel,trastuzumab-qyyp,trastuzumab-qyyp,2
"tofogliflozin (apleway, deberza)",see alternative names,See alternative names,0
tol-dcs,...,...,0
toldcs,...,...,0
toluene-4-sulfonamide,toluenesulfonamide,toluenesulfonamide,0
toluene-4-sulphonamide,toluenesulfonamide,toluenesulfonamide,0
toluene-p-sulfonamide,toluenesulfonamide,toluenesulfonamide,0
toluene-p-sulphonamide,toluenesulfonamide,toluenesulfonamide,0
toluenesulfonamide,toluenesulfonamide,toluenesulfonamide,0
toluenesulfonamide intratumoral,toluenesulfonamide,toluenesulfonamide,1
"toluenesulfonamide, p-",toluenesulfonamide,toluenesulfonamide,0
tolylsulfonamide,toluenesulfonamide,toluenesulfonamide,0
tonojug,barium,barium,0
tonopaque,barium,barium,0
topoisomerase ii inhibitor rta 744,rta 744,RTA 744,0
toposide capsules,trastuzumab-qyyp,trastuzumab-qyyp,0
toraxim,cefpodoxime,cefpodoxime,0
torin-1,varies,Varies,0
torin-2,varies,Varies,0
toripalimab (loqtorzi),...,...,0
torisel™,...,...,0
torpenz,trastuzumab-qyyp,trastuzumab-qyyp,0
tosylamide,toluenesulfonamide,toluenesulfonamide,0
tosylamine,toluenesulfonamide,toluenesulfonamide,0
total androgen blockade,n/a,N/A,0
total androgen suppression,n/a,N/A,0
tovetumab,...,...,0
tp chemotherapy,not available,Not available,0
tp-dc,...,...,0
tp-s1-68,...,...,0
tpc -vinorelbine,tlc178,TLC178,1
tpc chemotherapy,...,...,0
tpf,trastuzumab-qyyp,trastuzumab-qyyp,0
tpf regimen,trastuzumab-qyyp,trastuzumab-qyyp,0
tq-b3139,see alternative names,See alternative names,0
tqb-3454,see alternative names,See alternative names,0
tqb3107 tablets,gp100 human melanoma peptide,gp100 human melanoma peptide,0
tqd7q784p1,ebastine,Ebastine,0
trac locus integrated anti-cd19 19(t2)28z1xx car-t cells,...,...,0
tradipitant,...,...,0
tranks,pcb,pcb,0
transact,flurbiprofen,flurbiprofen,0
transarterial chemoembolisation,n/a,N/A,0
transarterial chemoembolization,...,...,0
transarterial chemoembolization (tace),...,...,0
transarterial embolization (tae),...,...,0
transcatheter arterial chemoembolization,n/a,N/A,0
transderm-nitro,nitroglycerin,nitroglycerin,0
transdermal estradiol,estradiol,estradiol,0
transdermal estrogen,estradiol,estradiol,0
transdermal oestradiol,estradiol,estradiol,0
transfusion graft,n/a,N/A,0
transfusion of 1×10^9 pd-1 edited tils per kg body weight,...,...,0
transfusion of 2×10^9 pd-1 edited tils per kg body weight,...,...,0
transplant,n/a,N/A,0
transplant-lite,n/a,N/A,0
transplantation,n/a,N/A,0
transplants from family-mismatched,n/a,N/A,0
trastuxumab,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzuma,trastuzumab-qyyp,trastuzumab-qyyp,0
trastuzumab (,trastuzumab-qyyp,trastuzumab-qyyp,3
trastuzumab [herceptin],trastuzumab-qyyp,trastuzumab-qyyp,7
trastuzumab after subq gm-csf,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab as subcutaneousformulation,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab biosimilar abp 980,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab biosimilars,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab fdc,trastuzumab-qyyp,trastuzumab-qyyp,2
trastuzumab fixed-dose combination for administration,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab followed by cef,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab for,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab for use,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab in combination,trastuzumab-qyyp,trastuzumab-qyyp,2
trastuzumab in combinition,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab injectable,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab injectable product,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab maintenance therapy,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab monotherapy,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab phase l,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab via the ommaya reservoir,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab),trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab) versus ec-th(epirubicin,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab-anns,trastuzumab-qyyp,trastuzumab-qyyp,0
trastuzumab-eu,trastuzumab-qyyp,trastuzumab-qyyp,1
trastuzumab-qyyp,trastuzumab-qyyp,trastuzumab-qyyp,0
tratuzumab,trastuzumab-qyyp,trastuzumab-qyyp,2
travel sickness,meclizine,Meclizine,0
travel-ease,meclizine,Meclizine,0
travelon,meclizine,Meclizine,0
trc 102,methoxyamine,Methoxyamine,0
trc-102,methoxyamine,Methoxyamine,0
trc102,methoxyamine,Methoxyamine,2
treatment :gemcitabine,trastuzumab-qyyp,trastuzumab-qyyp,1
treatment carboplatin,trastuzumab-qyyp,trastuzumab-qyyp,1
treatment doxorubicin,trastuzumab-qyyp,trastuzumab-qyyp,1
treatment of encorafenib & binimetinib & cetuximab,trastuzumab-qyyp,trastuzumab-qyyp,1
treatment of encorafenib & binimetinib & ribociclib,trastuzumab-qyyp,trastuzumab-qyyp,1
treatment: ag & anti-pd-l1,...,...,0
treg,n/a,N/A,0
tremelimumab (imjudo),...,...,0
tremtelectogene empogeditemcel (trem-cel),...,...,0
tri-weekly cisplatin,trastuzumab-qyyp,trastuzumab-qyyp,1
triazines,varies,Varies,0
tricef,cefpodoxime,cefpodoxime,0
trichomylin®,gp100 human melanoma peptide,gp100 human melanoma peptide,0
tridil,nitroglycerin,nitroglycerin,0
trikes,n/a,N/A,0
trilegest fe,norethisterone acetate,norethisterone acetate,0
trinalgon,nitroglycerin,nitroglycerin,0
trinitrin,nitroglycerin,nitroglycerin,0
trinitroglycerin,nitroglycerin,nitroglycerin,0
trinitroglycerol,nitroglycerin,nitroglycerin,0
trinitroglycerol (tng),nitroglycerin,nitroglycerin,0
triocim,cefixime,cefixime,0
triple threat car t-cell therapy,n/a,N/A,0
triple-targeted car-t therapy,n/a,N/A,0
tripril car t cells,...,...,0
triptolide analog,...,...,0
trisequens,...,...,0
triticol,carbendazim,carbendazim,0
troculeucel (snk01),...,...,0
trop2 adc,n/a,N/A,1
trop2-car-il-15-transduced cord blood-derived natural killer cells,...,...,0
