nct_id,drug_name_in_trial,resolves_to_bucket
NCT02684708,cyclophosphamide,cyclophosphamide
NCT02685059,cyclophosphamide,cyclophosphamide
NCT02685605,temozolomide,temozolomide
NCT02685826,dexamethasone,dexamethasone
NCT02686346,Carboplatine,trastuzumab-qyyp
NCT02686593,mitoxantrone,mitoxantrone
NCT02688140,mitoxantrone,mitoxantrone
NCT02689440,venetoclax,trastuzumab-qyyp
NCT02689843,metformin,metformin
NCT02691494,estradiol,estradiol
NCT02692248,dexamethasone,dexamethasone
NCT02697058,BAX2398,trastuzumab-qyyp
NCT02697344,dexamethasone,dexamethasone
NCT02697383,dexamethasone,dexamethasone
NCT02698410,temozolomide,temozolomide
NCT02699515,MSB0011359C,trastuzumab-qyyp
NCT02705300,irinotecan,irinotecan
NCT02707159,Nab paclitaxel,trastuzumab-qyyp
NCT02709720,vinorelbine,tlc178
NCT02715609,temozolomide,temozolomide
NCT02718430,VXM01,gp100 human melanoma peptide
NCT02718443,VXM01,gp100 human melanoma peptide
NCT02718833,dexamethasone,dexamethasone
NCT02719613,Dexamethasone,dexamethasone
NCT02720068,irinotecan,irinotecan
NCT02720367,Gemcitabine-Releasing Intravesical System,trastuzumab-qyyp
NCT02720367,TAR-200,trastuzumab-qyyp
NCT02722538,Gemcitabine-Releasing Intravesical System,trastuzumab-qyyp
NCT02722538,TAR-200,trastuzumab-qyyp
NCT02722668,cyclophosphamide,cyclophosphamide
NCT02723331,Nab paclitaxel,trastuzumab-qyyp
NCT02723994,cyclophosphamide,cyclophosphamide
NCT02723994,dexamethasone,dexamethasone
NCT02724020,everolimus,trastuzumab-qyyp
NCT02724163,cyclophosphamide,cyclophosphamide
NCT02724163,mitoxantrone,mitoxantrone
NCT02724579,cyclophosphamide,cyclophosphamide
NCT02726581,dexamethasone,dexamethasone
NCT02727803,cyclophosphamide,cyclophosphamide
NCT02728050,mitoxantrone,mitoxantrone
NCT02729896,Atezolizumab [TECENTRIQ],trastuzumab-qyyp
NCT02730416,nintedanib,da-epoch-r followed by nivolumab
NCT02732119,everolimus,trastuzumab-qyyp
NCT02734771,cyclophosphamide,cyclophosphamide
NCT02736500,lutetium lu 177 dotatate,lutetium lu 177 dotatate
NCT02737475,cyclophosphamide,cyclophosphamide
NCT02740127,dexamethasone,dexamethasone
NCT02741388,dexamethasone,dexamethasone
NCT02742051,cyclophosphamide,cyclophosphamide
NCT02742051,everolimus,trastuzumab-qyyp
NCT02743741,lutetium lu 177 dotatate,lutetium lu 177 dotatate
NCT02744729,99mTc-3PRGD2,gp100 human melanoma peptide
NCT02744742,cyclophosphamide,cyclophosphamide
NCT02744898,Carboplatin AUC,trastuzumab-qyyp
NCT02747043,ABP 798,trastuzumab-qyyp
NCT02749136,postoperative gemcitabine,trastuzumab-qyyp
NCT02750670,dexamethasone,dexamethasone
NCT02753127,irinotecan,irinotecan
NCT02753881,superselective cTACE doxorubicin,trastuzumab-qyyp
NCT02754297,177Lu-Octreotate,lutetium lu 177 dotatate
NCT02755597,dexamethasone,dexamethasone
NCT02755597,venetoclax,trastuzumab-qyyp
NCT02755844,metformin,metformin
NCT02755844,metronomic cyclophosphamide,cyclophosphamide
NCT02756572,mitoxantrone,mitoxantrone
NCT02756611,venetoclax,trastuzumab-qyyp
NCT02756897,venetoclax,trastuzumab-qyyp
NCT02758665,venetoclax,trastuzumab-qyyp
NCT02759835,osimertinib,trastuzumab-qyyp
NCT02760225,89Zr-Pembrolizumab,pembrolizumab and berahyaluronidase alfa-pmph
NCT02761915,cyclophosphamide,cyclophosphamide
NCT02763475,cyclophosphamide,cyclophosphamide
NCT02764541,Endocrine Therapy,...
NCT02765854,dexamethasone,dexamethasone
NCT02768701,cyclophosphamide,cyclophosphamide
NCT02769286,osimertinib,trastuzumab-qyyp
NCT02770378,temozolomide,temozolomide
NCT02773030,carfilzomib,velcade thalidomide dexamethasone
NCT02773030,dexamethasone,dexamethasone
NCT02774421,Trastuzumab after SubQ GM-CSF,trastuzumab-qyyp
NCT02774421,Trastuzumab in combination,trastuzumab-qyyp
NCT02775292,cyclophosphamide,cyclophosphamide
NCT02776436,dexamethasone,dexamethasone
NCT02778776,metformin,metformin
NCT02779283,cyclophosphamide,cyclophosphamide
NCT02779283,dexamethasone,dexamethasone
NCT02780024,metformin,metformin
NCT02780609,dexamethasone,dexamethasone
NCT02781792,temozolomide,temozolomide
NCT02784288,SOC Carboplatin,trastuzumab-qyyp
NCT02784288,SOC Paclitaxel,trastuzumab-qyyp
NCT02786719,cyclophosphamide,cyclophosphamide
NCT02789345,osimertinib,trastuzumab-qyyp
NCT02790515,cyclophosphamide,cyclophosphamide
NCT02791373,vinorelbine,tlc178
NCT02792114,cyclophosphamide,cyclophosphamide
NCT02793544,Post-HCT Cyclophosphamide,cyclophosphamide
NCT02793544,cyclophosphamide,cyclophosphamide
NCT02793856,cyclophosphamide,cyclophosphamide
